Date,Dengue CDC,dengue,sintomas de dengue,mosquito,dengue sintomas
2004-01-01,98,6,0,57,0
2004-02-01,41,8,0,51,0
2004-03-01,53,3,0,30,14
2004-04-01,92,5,0,80,0
2004-05-01,100,2,0,21,0
2004-06-01,240,15,0,43,0
2004-07-01,976,10,0,73,0
2004-08-01,2499,10,0,0,9
2004-09-01,1420,8,22,15,0
2004-10-01,1382,23,0,33,7
2004-11-01,1017,16,0,85,0
2004-12-01,284,8,0,78,0
2005-01-01,181,3,0,15,0
2005-02-01,113,6,0,43,0
2005-03-01,87,6,0,0,0
2005-04-01,172,11,0,27,0
2005-05-01,510,7,0,24,0
2005-06-01,945,8,0,86,6
2005-07-01,2255,14,0,55,0
2005-08-01,4686,19,0,23,10
2005-09-01,5705,17,14,47,4
2005-10-01,4813,28,0,18,8
2005-11-01,2011,18,0,19,0
2005-12-01,427,9,0,33,0
2006-01-01,341,3,0,55,0
2006-02-01,251,4,0,17,0
2006-03-01,280,8,0,36,0
2006-04-01,321,11,0,51,0
2006-05-01,619,13,0,41,3
2006-06-01,1108,8,11,74,3
2006-07-01,2401,11,12,32,4
2006-08-01,3748,11,10,40,6
2006-09-01,6438,19,17,72,3
2006-10-01,8102,20,8,89,10
2006-11-01,4669,19,0,22,0
2006-12-01,1558,12,0,20,3
2007-01-01,1716,8,0,43,2
2007-02-01,1263,7,0,37,0
2007-03-01,1238,13,0,32,8
2007-04-01,1206,12,0,50,2
2007-05-01,1861,13,17,50,5
2007-06-01,2550,13,6,61,2
2007-07-01,3661,9,6,55,6
2007-08-01,7106,11,16,29,5
2007-09-01,11311,21,5,33,13
2007-10-01,13205,39,22,64,19
2007-11-01,5842,24,14,22,19
2007-12-01,1410,12,5,30,5
2008-01-01,1068,9,4,28,6
2008-02-01,935,10,0,29,4
2008-03-01,654,6,4,57,1
2008-04-01,934,10,8,57,7
2008-05-01,2059,13,0,44,5
2008-06-01,2974,15,0,45,4
2008-07-01,3564,8,4,30,5
2008-08-01,4673,12,11,45,10
2008-09-01,5298,19,7,39,15
2008-10-01,7324,22,15,42,15
2008-11-01,4650,16,0,37,5
2008-12-01,1470,7,4,40,5
2009-01-01,2507,9,13,49,6
2009-02-01,2221,8,0,20,0
2009-03-01,1961,10,3,20,5
2009-04-01,1977,9,10,36,4
2009-05-01,2414,17,3,42,5
2009-06-01,3674,11,3,43,3
2009-07-01,7831,7,15,30,2
2009-08-01,26101,16,6,22,13
2009-09-01,32571,49,56,71,45
2009-10-01,26547,69,36,82,46
2009-11-01,17601,43,50,42,28
2009-12-01,6640,18,19,47,14
2010-01-01,2986,7,11,38,4
2010-02-01,2256,10,5,32,3
2010-03-01,1745,12,3,28,4
2010-04-01,1937,13,5,50,3
2010-05-01,2276,12,13,44,10
2010-06-01,3138,12,3,33,5
2010-07-01,4241,16,13,52,15
2010-08-01,6619,21,13,54,16
2010-09-01,6235,17,30,77,13
2010-10-01,7041,16,19,31,18
2010-11-01,3937,14,14,38,14
2010-12-01,879,10,8,35,7
2011-01-01,389,6,2,35,2
2011-02-01,362,5,4,28,1
2011-03-01,453,9,8,37,2
2011-04-01,435,8,12,43,6
2011-05-01,625,7,3,39,5
2011-06-01,655,7,8,34,4
2011-07-01,1108,7,8,51,11
2011-08-01,2056,8,10,37,7
2011-09-01,3818,15,9,47,8
2011-10-01,5950,15,10,35,9
2011-11-01,4247,12,5,43,6
2011-12-01,1749,7,6,33,4
